fold,train_start,train_end,test_start,test_end,train_n,test_n,thr_train_p90,base_rate,selected_rate,selected_n,auc,p_at_10,lift_p10,ic
21,1998-10-16,2007-01-24,2007-01-25,2007-07-25,53889,3654,0.38108939730013125,0.2955665024630542,0.10262725779967159,375,0.5562129485740597,0.4,1.3533333333333333,0.08542674070327685
22,1998-10-16,2007-04-25,2007-04-26,2007-10-23,55716,3654,0.3769142833244613,0.34181718664477284,0.12588943623426382,460,0.5772281858751034,0.4717391304347826,1.3800918996066418,0.04803567852818558
23,1998-10-16,2007-07-25,2007-07-26,2008-01-24,57543,3654,0.3757493260518111,0.3672687465790914,0.18144499178981938,663,0.4950246623590262,0.3514328808446455,0.9568820764577755,-0.140120412747143
24,1998-10-16,2007-10-23,2007-10-24,2008-04-24,59370,3700,0.37512462848589717,0.37405405405405406,0.1245945945945946,461,0.4885402315632893,0.24078091106290672,0.6437061928704876,-0.09363699591813827
25,1998-10-16,2008-01-24,2008-01-25,2008-07-24,61197,3763,0.40116742821983364,0.39489768801488173,0.12171140047834175,458,0.49479078927847137,0.43231441048034935,1.0947504216941821,0.02929264624620811
26,1998-10-16,2008-04-24,2008-04-25,2008-10-22,63070,3780,0.47422849444020615,0.45052910052910056,0.11746031746031746,444,0.48321365536079947,0.46621621621621623,1.0348193172620652,-0.05450745912796418
27,1998-10-16,2008-07-24,2008-07-25,2009-01-23,64960,3796,0.47376817621434114,0.45389884088514226,0.1095890410958904,416,0.4900563556703816,0.4495192307692308,0.990351131746953,-0.10727542811938388
28,1998-10-16,2008-10-22,2008-10-23,2009-04-24,66850,3859,0.43239155943797913,0.397512308888313,0.14641098730240995,565,0.590587402391667,0.4778761061946903,1.2021668147361864,0.061629979432034514
29,1998-10-16,2009-01-23,2009-01-26,2009-07-24,68756,3906,0.38135616888399143,0.355094726062468,0.12621607782898106,493,0.563464604835979,0.3752535496957404,1.056770270448134,0.07131519274592867
30,1998-10-16,2009-04-24,2009-04-27,2009-10-22,70709,3906,0.3806997455282018,0.3420378904249872,0.10368663594470046,405,0.506593961881684,0.291358024691358,0.8518296739853626,0.06442569015384701
31,1998-10-16,2009-07-24,2009-07-27,2010-01-25,72662,3906,0.38003923745230106,0.3271889400921659,0.09523809523809523,372,0.4980405432765713,0.31989247311827956,0.9776995305164319,-0.05193824558926413
32,1998-10-16,2009-10-22,2009-10-23,2010-04-26,74615,3906,0.378712498415484,0.32693292370711724,0.1359447004608295,531,0.49641520263860145,0.3502824858757062,1.0714200390215416,0.07027738032807956
33,1998-10-16,2010-01-25,2010-01-26,2010-07-26,76568,3906,0.3772891922601894,0.3481822836661546,0.09626216077828981,376,0.5231294186959937,0.38563829787234044,1.107575876095119,0.10863103112492459
34,1998-10-16,2010-04-26,2010-04-27,2010-10-22,78521,3906,0.3761646626675894,0.3451100870455709,0.09984639016897082,390,0.5148172197307337,0.35384615384615387,1.0253138552841818,-0.04018265477538916
35,1998-10-16,2010-07-26,2010-07-27,2011-01-24,80474,3906,0.3759409147045812,0.32027649769585254,0.13799283154121864,539,0.582585983943542,0.44712430426716143,1.3960571802298423,0.06777591431895395
36,1998-10-16,2010-10-22,2010-10-25,2011-04-25,82427,3915,0.37472834998602506,0.32924648786717753,0.08556832694763729,335,0.5291915835971016,0.4537313432835821,1.3780901543485058,0.08707689471820972
37,1998-10-16,2011-01-24,2011-01-25,2011-07-25,84380,3978,0.37344269336235103,0.33433886375062843,0.10130718954248366,403,0.4849717761170298,0.2977667493796526,0.8906136308513218,-0.08665238036466327
38,1998-10-16,2011-04-25,2011-04-26,2011-10-21,86342,4031,0.3756795124588029,0.37087571322252544,0.12627139667576284,509,0.49119528290938247,0.4538310412573674,1.2236741988685271,-0.057988060806753616
39,1998-10-16,2011-07-25,2011-07-26,2012-01-24,88358,4031,0.4200448157840846,0.38873728603324237,0.0870751674522451,351,0.5590534326075965,0.45584045584045585,1.1726183008888817,0.050744789556402964
